fecha,zona_prov,w_mean
2020-01-01,BUENOS AIRES,58943
2020-02-01,BUENOS AIRES,59449
2020-03-01,BUENOS AIRES,62233
2020-04-01,BUENOS AIRES,58845
2020-05-01,BUENOS AIRES,59051
2020-06-01,BUENOS AIRES,86742
2020-07-01,BUENOS AIRES,62454
2020-08-01,BUENOS AIRES,63768
2020-09-01,BUENOS AIRES,65516
2020-10-01,BUENOS AIRES,70448
2020-11-01,BUENOS AIRES,71407
2020-12-01,BUENOS AIRES,106478
2021-01-01,BUENOS AIRES,79039
2021-02-01,BUENOS AIRES,79378
2021-03-01,BUENOS AIRES,86792
2021-04-01,BUENOS AIRES,88289
2021-05-01,BUENOS AIRES,88463
2021-06-01,BUENOS AIRES,129934
2021-07-01,BUENOS AIRES,96763
2021-08-01,BUENOS AIRES,99000
2021-09-01,BUENOS AIRES,102206
2021-10-01,BUENOS AIRES,107690
2021-11-01,BUENOS AIRES,111710
2021-12-01,BUENOS AIRES,169008
